unixReviewTime,summary
1281139200,"Come on, it's a Funnel!!!"
1328572800,Great funnel for gas additives
1385424000,Your go to funnel.
1370044800,"It's blue, it's a funnel."
1354406400,"A funnel, yes.. it is"
1392940800,Perfect for pouring in Sea Foam additive
1391558400,Perfect
1330819200,Pretty good for filling your tank
1289088000,SORRY no 12' cord...Get over it! GREAT PRODUCT!!
1294185600,"""Top Off"" battery without damaging it"
1370908800,Charger
1361491200,5 years old and still going good
1396051200,Easy to use float charger
1373500800,Battery Charger
1366588800,Great. I've bought several
1330732800,Excellent device
1401408000,Perfect fit
1370131200,4 way plug covers
1379894400,Hopkins 48735 4Wire Flat Replacement Dust Covers
1395100800,A must Have...I would not go without them...
1381968000,Work great...
1363996800,Good covers
1393113600,What can I say
1404864000,Five Stars
1337990400,Excellent
1293321600,"Great product, makes me feel secure"
1329782400,Nice design but key use a little tricky
1214956800,Works as described!
1319760000,Fair
1254441600,works as advertised
1388880000,It works
1382227200,Works Great
1397347200,OMG - These Absorber's are Freaking Amazing
1374883200,Nice Product
1373500800,You should dry your car with this
1399420800,Absorbs water like no other chamois!
1390003200,Sucks up water
1356480000,My go to chamois for 10yrs
1291507200,excellent
1397174400,One Wipe - You Dry
1398297600,The only thing I use to dry
1387411200,Must Have Item
1373846400,Only way I dry my car
1350259200,This thing is truly amazing
1385251200,Great product.
1394582400,An excellent product and a huge time saver!
1318550400,Best drying cloth I've found.  Tube not necessary.
1367193600,best ever
1373587200,Keeps me cool !
1220313600,My wife is insane about this thing.
1246838400,Exactly as advertized
1356739200,"The Absorber Synthetic Drying Chamois, 27"" x 17"" it works"
1367884800,Wish I had invented it
1389916800,"I used to love this, then I started using microfiber towels instead"
1374451200,It works
1372723200,Second one
1318032000,The Absorber
1349827200,"Best synthetic chamois, period"
1352419200,Works better than old bath towels
1339027200,Better than chamois
1390608000,Super chamois!
1400803200,a must for home car washes
1387756800,?
1381449600,Great product for car detailing
1380758400,works ok
1404345600,Good car drying Chamois.
1396915200,Classic good absorber
1279584000,Good for drying a washed car
1397779200,Best Chamois- Money can buy
1369872000,This wax takes detailing to a higher level AT 1ST but quickly fades in time
1363824000,I agree with everybody else it's fantastic
1331596800,Excellent wax
1400716800,Great wax!
1393113600,Top coat for RV's & Boats
1352419200,PEANUT
1372809600,Makes my RV happy
1353542400,not too bad
1361145600,"Reasonably priced, do their job."
1351555200,Light and easy to use
1362873600,Extra Strong RV Wheel Chocks
1393372800,Nice Wheel Chock - Be Aware!
1385164800,"Functional, prevent movement of the trailer"
1306800000,Functional and Inexpensive - Highly Recommended
1364688000,Wheels Chock
1371945600,Wheel Chocks at a VALUE
1391990400,JUST THE RIGHT SIZE
1402099200,STOP your RV dead in its track.
1404172800,Five Stars
1331510400,"Good light weight chocks ""Made in USA.""  Has side hole for rope."
1330646400,Look good.
1403395200,A must for RVers
1399939200,Advertise wrong
1394150400,Perfect
1404604800,wheel chock
1375920000,works well
1363910400,Rv wheel chokes
1395705600,yellow plastic wheel chocks
1396569600,Great chocks
1377388800,Great
1404432000,They hold
1404259200,It's a wheel chock!
1384992000,Works well
1375056000,Chock Blocks
1387497600,solid chock I used first time
1381363200,Highly Recommend
1325289600,Light weight and solid
1387670400,"Nice, cheap and they work"
1364256000,Works well for my trailer
1354838400,Nice Wheel Chock
1393372800,Wheel Chocks
1389052800,Great Wheel Chocks - Great Price - Made in USA!
1400544000,This will allow me to have the option of several size tow-balls available quickly.
1404691200,Good product and well worth the price.
1373500800,Best balls since....balls
1365033600,Good Quality
1354838400,Excellent Value
1374192000,Get the triple the first time...
1353110400,Solid bar for a Solid Price
1402185600,bad design
1340582400,Keeper Cargo Bar
1364688000,Does what it is supposed to.
1334707200,1Fine finger cutter!
1325808000,Works so well I bought more as gifts
1258070400,Keeps you snuggley warm.
1366416000,"Well made, works well. But it has a timer."
1381708800,toasty
1391040000,Decent for a NY winter
1360108800,Exactly what I needed
1380585600,Just perfect.
1402617600,Highly quality product
1368921600,Time Will Tell
1404950400,"Easy to install, adds power and sound with Airaid MIT"
1390435200,"Correct Size, easy install"
1333843200,"Fits, as expected"
1375228800,Fits my 2013 Z-71 Silverado.
1379116800,K&N air filter
1399420800,High Performance Sez it all
1360713600,This pays for itself
1310342400,I use it in every one of my cars
1402704000,Great deal!
1372464000,K&N air flow filter for G35 coupe 6MT
1337644800,Cheaper than anywhere else I could find it
1365724800,Cheap and legit = Win
1384732800,K&N rocks
1308614400,BUY THIS!
1400716800,Nice replacement.
1402790400,"2003 Nissan Altima, almost 200k miles"
1281484800,"50% Hype, But the Remaining 50% is Still a great filter"
1193529600,Best Hose Nozzle ever!
1310169600,Great hi-flow nozzle
1320969600,Great Nozzle...Seems durable
1335916800,Best Hose Nozzle Ever!!!!
1284595200,Ok if you like to drench
1300406400,My Experience has been GOOD
1367625600,This is the best hose nozzle I've ever used
1360800000,cool
1313020800,Solid feel. Easy to use. Great spray patterns. Made in China!
1240272000,Durable hose nozzle; but not the best ever
1399593600,Going Strong After Years
1244332800,Great Nozzle if you have High Pressure
1231113600,Wow!
1339545600,Crazy nice for high delivery hoses
1260835200,Sturdy unit.  Otherwise just OK.
1221264000,Nothin' To Write Home About........
1188691200,mini firefighter's hose
1354060800,Fantastic Nozzle
1373846400,Tough and easy to use
1390435200,"Good control of water pattern, sturdy design"
1265587200,"Durable, quality product"
1336521600,Works perfectly
1225843200,Best Nozzle I have ever used!
1400284800,GREAT!
1375747200,Not as versatile as a conventional adjustable nozzle
1280448000,"not yet proven to be the ""ultimate hose nozzle"" . . ."
1377734400,Excellent
1385510400,Great.
1262131200,Good product!
1313884800,APPLY COMMON SENSE
1369008000,Great choice!!
1285545600,"Good stuff, overpriced"
1236211200,It Works - Do NOT expect a miracle!
1376611200,Can't get enough
1300579200,Hard to find a similar material
1309305600,Great Product makes huge difference !!
1365811200,Silence is golden
1291939200,It works pretty well
1373328000,Easier to install than I thought - usefulness still TBD
1400198400,Not for Me
1198368000,Rattles are for babies
1405209600,It is a quiet variety that we paid a good deal of money for
1319328000,Peel and stick!!!
1370390400,dynamat works
1301097600,No Big Effect
1329350400,Great And Works
1325376000,Great Stuff
1334448000,Dynamat roll
1267574400,Fantastic Product!
1264550400,Top Notch Product!
1401580800,Not Worth It
1367020800,There really isn't an equal
1219622400,Works for more than just autos
1364947200,Works great
1363564800,Always wanted to-Glad I did!
1399334400,"There are other options, but I trust Dynamat."
1356307200,This seems like the best deal out there
1370217600,plenty of dynomat
1394582400,Sound deadening at its best
1400457600,Great Protection
1395619200,Finally protecting my car door from the wall.
1398729600,Just what I need
1398816000,Perfect size
1341964800,Now this is more like it
1398902400,Great jack stands
1322611200,great stands
1394064000,Good quality
1366416000,Decent price and quality
1380499200,Great jack stands
1386547200,Basic jack stands - good enough for the price
1384560000,Works like it should.
1400371200,good quality
1368921600,Stand Up Stands
1395187200,Never used... Feel a bit flimsy
1380672000,Use these very often
1347926400,Great jack stands... but know what height you need
1309824000,Works As Expected
1359849600,"heavy duty, no flaws"
1325116800,Fine Jack Stands (Double Locking Gets Stuck Sometimes)
1369440000,They hold my car up
1383868800,Great stands for the price!
1302566400,"Decent, but tall"
1358467200,I returned it because
1346198400,"BAD WELDED ,DONT BUY IT DANGER"
1399161600,Not bad for the money !!!!
1328572800,Excellent Stands
1392854400,Works on my Yukon
1403654400,Great jack stands for a good price
1376179200,These are sweet.
1396224000,Torin T 43002A 3 TON DOUBLE LOCKING JACK STANDS
1395532800,They work fine.
1355702400,Sturdy and works well
1399420800,Not bad but could be better
1304553600,Heavy duty!
1368489600,Seems to be just fine
1357430400,4 wheeler replacement.
1396915200,It works
1383350400,Still a solid product value
1374883200,Fram = Fail
1256688000,Reliable even after  50K motorcycle miles
1391472000,Fram Honda oil filter
1371600000,None of my filter wrenches fit it.
1355184000,Fit my Triumph Daytona just fine
1383609600,Gets the job done.
1367107200,Fits loosely on my 30x9.5x15 spare
1355184000,cover up
1392336000,Inexpensive tire cover
1354147200,Review Tire Cover
1390867200,Bought two!
1365984000,Fits Mazda CX-5 but I don't like the style
1377043200,works great looks good and helps a bad wheel
1361750400,steering wheel cover
1363392000,Better than the sip on type.
1374364800,"Great protection, a bit small for the money."
1319500800,Extra Heat Protection
1385942400,Great!
1401321600,great!
1369008000,Not Bad
1394582400,Nice stuff
1387238400,Versatile - good for high temperature lighting fixtures
1391731200,seems to work
1359676800,It's OK
1361059200,Always a good product
1393718400,intake wrap only
1380672000,Does what it's supposed to do...
1371513600,"Secure, but hard on the vehicle"
1315008000,Excellent
1292889600,Does what I need it to do...
1403395200,well done
1386806400,Very well built. I would easily recommend these!
1384819200,Not too bad
1346716800,Jeep JK works great
1370390400,supper mirrows
1356307200,these are great mirrors that fit my FJ Cruiser where most others won't
1376697600,Junk
1403913600,I like this version of a towing mirror
1371513600,Works great as a replacement
1380931200,Buyer beware
1355875200,Good Replacement
1399507200,Good Value
1374796800,thepizza man
1288742400,Its plastic...but its ok
1356739200,great item!
1342137600,Arrived a little scuffed
1254268800,Arrived scratched and makes objects much smaller than they are.
1367971200,Great blind spot mirror.
1348531200,Good Fit for 2006 Honda Pilot
1358899200,Excellet for our SUV
1369699200,"Great for driver side, no use for passanger side"
1317859200,Great Blind Spot Mirror
1329091200,Large and clear.  Works very good for my application.
1405123200,Eliminate blind spots
1400803200,Large
1321833600,It does what its supposed to do
1371513600,Very easy to use
1388966400,Excellent Product And Even Better Amazon Price
1363910400,Works excellent!
1358208000,K&N
1380499200,spray Can
1372377600,BEST SIZE FOR THE BUCK!!
1372204800,K&N means good Quality
1358640000,"2 cans goes a long way,..."
1350432000,Better than the pump bottle.
1344038400,Cost savings in the big bottle...
1381622400,Cheap and easy to use
1383264000,Amazing Cleaner
1316649600,A mist have cleaner for kn filters.
1362528000,K&n
1392768000,Must Have if you have a K&N Filter
1397520000,It works.
1388793600,Great product.
1393977600,NICE!
1391040000,Use this recharger if  you have a K&N
1385078400,Good Cleaner/Lubricator For Reusable Air Filters
1393113600,Dealer Wanted $89 To Do This Service
1316822400,air filter cleaner
1359936000,wow...
1316822400,K&N is top notch
1394323200,Keeps the filter clean
1330646400,Just get the oil
1233446400,A Necessary Accessory.
1226448000,Cost saving filter
1370995200,It's K&N - why wouldn't it be 5 stars?
1402876800,Great product
1403308800,It does what it says
1383436800,Good Price and Works
1403136000,Great Stuff!
1393027200,A MUST HAVE!!
1396483200,It's a gotta have.
1402185600,Works well
1400544000,Poor Ratio
1396483200,KN filter oil and cleaner
1401667200,Easy to use for my K&N Drop filter
1363305600,cleaning kit
1298937600,"It works, but I always run out of the cleaning solution first!"
1371600000,Great
1392768000,Works as designed
1357948800,More K&N
1383696000,works
1392768000,This is great stuff
1357603200,oem cleaner and oil for kn
1389744000,A must for your filter
1387756800,Great service kit.
1327622400,Great Product!!
1310515200,like the aerosol spray better
1240531200,The Right Stuff
1354233600,Air filter service kit
1357776000,great product!
1320105600,Just what you need
1333756800,Still Hard to oil uniformly
1355875200,Love it
1369699200,K&N recharge kit
1238371200,Keeping it clean
1371081600,Cleans everything
1269043200,Does the job well
1375315200,Good product.
1358294400,Easy to Use
1356566400,K &N enough said.....
1396569600,Nice horn
1302912000,This Horn is SILVER - Not BLACK and NO RED STRIPE
1375660800,Still working
1366934400,Bright !!!!
1369180800,Bright and Beautiful!
1390780800,OK but not Great
1363305600,light kit
1362873600,KC Quality
1358121600,Exceeded Expectations!
1361145600,Light the way.
1313193600,excellent
1357603200,Must for the look
1334880000,SUPER NICE
1366070400,Light GUARDS
1355616000,Nice covers!
1381190400,Easy to install and even easier to use
1398729600,looks great
1342828800,Better than I thought!
1371081600,Great Upgrade for an RV
1384560000,Adapted to older Stromberg Carlson unit
1302739200,Lexol leather conditioner does a fine job
1255132800,Certainly does work the best
1377820800,Couch looks like new LOVE IT
1334793600,No noticable difference
1304467200,Lexol Leather Conditioner
1393632000,Good stuff
1383436800,Good stuff
1391126400,Recommended brand
1390694400,Your leather furniture will thank you.
1404172800,works well
1356825600,LEXOL 1015 LEATHER CODITIONER 16.9 OZ SPRAY
1364515200,The best
1356134400,"Keeps leather soft, supple."
1341273600,What the pros use
1363305600,Really works
1237766400,The best there is
1398729600,Great product
1236988800,lexol leather conditioner
1252627200,No shine afterwards
1355184000,Quality product
1343347200,"Great leather conditioner, best I've tried"
1372204800,Jeep Leather Seats
1354320000,The BEST!!!
1389398400,Good value
1290124800,very happy with it
1357689600,"Tried Lexol based upon positive reviews here, but still prefer URAD Leathercare Cream"
1354492800,The Best
1392422400,Nice product
1379030400,Lexol Leather Cleaner
1374364800,Leather cleaner
1300579200,Does nothing for my car.  Returned.
1366934400,Works great to clean leather
1399334400,Good basic leather cleaner
1356998400,Wasn't impressed.
1323993600,Good stands overall
1282435200,Awesome
1396915200,Great
1383955200,"Nice stands, best price I found"
1347062400,Great for the amature mechanic.
1382832000,Good But
1309651200,Really Does the Job
1359849600,Solid
1328227200,Great Investment for the DIY'er
1329955200,DO NOT BUY THESE THEY ARE NOT SAFE
1376352000,Great for the price!!
1336608000,Wrong item shipped after ordering NEXT DAY
1389139200,Great stands
1322870400,works well but design not really to my liking
1397520000,Torin = Quality Stands
1364083200,Perfect match.
1384300800,does the job
1379116800,It works
1395532800,good test leads.
1397174400,These are an excellent quality for the price!
1356134400,Nice test leads
1366848000,Not much to say.......
1388275200,decent cable set
1396483200,High Quality
1404000000,Four Stars
1374796800,Nice test leads
1390867200,Wire too stiff!
1404086400,handy dandy
1383955200,Not the greatest.....not the worst.
1405123200,Perfect for a lab power supply
1344902400,Quick getting here.
1367971200,"Convenient, but..."
1379894400,Perfect repair....
1383264000,body work
1380931200,"A mus-have product, not just for cars"
1403827200,Works great.
1348876800,Exactly what you would expect
1398729600,Good bondo
1359936000,good brake fluid
1382659200,Twice the price
1372032000,Great!
1394064000,Best DOT3/DOT4 Brake Fluid out there!
1403827200,DOT 3 OR 4
1334534400,Good but not the Holy Grail
1379980800,Never use any kind of wax again
1353369600,works but not what i expected
1355702400,Best &#34;Wax&#34; I've Used
1208908800,First step
1217116800,Wow!
1255219200,Liquid Glass LG100 Auto/Polish car
1271376000,Wow
1404518400,Simply the best around!
1367193600,Used on a Mini
1384560000,"Easy, fast and it does what it is supposed to do."
1364688000,its good as other maker
1402099200,Excellant
1301788800,Liquid Glass LG100 Ultimate Auto Polish/Finish
1368230400,Love it.
1369785600,WOW
1402272000,works really good for one application. cannot use carwash waxes first as advised.
1374364800,Best polish available
1373328000,Shine
1300924800,The Best There Is - My Search Is Over
1289433600,AMAZING!!!
1360540800,Looks old fashioned -don't be fooled
1403654400,Great stuff!
1301961600,This Sh-t works!
1396915200,Don't buy a transmission till you try this
1370822400,This didnt fix my shudder with an 2006 Honda Odyssey
1366156800,Motorcraft product for an economy price!
1300233600,"Every 15,000 Miles"
1299024000,Easy installation (with the proper tools)
1383177600,top brand
1392940800,2008 Ford Escape - Mercury Mariner fuel filter
1291248000,Use Motorcraft
1302134400,"Good filter, no replacement clips included"
1370217600,Fuel Filter for a Lincoln Town Car
1335830400,Motorcraft Fuel Filter
1375488000,Excellent for your Ford/Lincoln/Mercury vehicle
1295654400,The ONLY Cleaner that Worked for Me
1400544000,Good stuff for car engines
1386288000,THIS IS SOME STRONG STUFF
1363132800,"No improvement, and I got  O2 Sensor Problems"
1372291200,Good product
1373414400,"Same as at parts store, only lower price"
1395360000,sea foam the best cleaner ever
1402185600,Excellent engine cleaning product
1354060800,"Great, Just Not Sure of Other Reviews..."
1364342400,THE BEST!
1381104000,seemed to actually work
1358899200,GREAT PRODUCT JUST WISH IT CAME WITH A BIT MORE
1402272000,This stuff works
1384992000,Works
1400803200,Mystery fluid
1316217600,Always use this product...great!
1272499200,Great product
1374364800,Seems to have worked
1399507200,Great Stuff
1394409600,Life saver!
1350000000,Good stuff
1386028800,Use it and NEVER see your mechanic again!
1401408000,Always use in my vehicles.
1360368000,Used this product for years and LOVE IT!
1400371200,Sea Foam Motor Treatment - My Mustang GT loves this stuff
1382313600,This suff is crazy good
1174348800,"Not a miracle in a bottle, but very effective!"
1404950400,There has to be a better way...
1398816000,It Worked for Grandpa back in the day & Works just as good for me Today!
1387670400,And your not using it why!!!
1401494400,Great for high mileage vehicles
1397174400,Succeeded where more basic methods failed
1353196800,Great protectant!!
1391731200,Best trim shine and protectant
1308096000,"good formula, not so good sprayhead"
1314576000,Great Product
1271116800,awesome protectant
1345507200,Nice product...
1396915200,Great for vinyl & plastic interiors
1299456000,The Best
1374624000,Just Plain Does What They Say It Does!
1396051200,Cleaner was weak but protective coating so far is good.
1383782400,Good Product
1376006400,Didn't work
1362528000,Carpet stain Remover
1380844800,Requires multiple applications
1367798400,A real Cleaner
1347840000,amazing
1401062400,The Purple Threadlocker
1377216000,the standard for thread locking
1354492800,Purple locktite!
1374105600,Great for small screws
1353628800,"inferior product, leaks on first use"
1403654400,"Functional, but one major flaw"
1390953600,"Works as advertised, easy use"
1390348800,YOU DO NOT NEED THIS
1385164800,Absolutely Worth Every Dollar
1391990400,good clips
1316649600,Great
1266710400,A good value
1322092800,"Good value, as described"
1291680000,horrible
1404259200,Five Stars
1379462400,P21S is an amazing product
1387497600,Awesome
1360713600,Best wax ever!!!
1399680000,Great product
1364515200,The BEST
1392249600,Carnauba Wax
1396915200,A great wax!
1367020800,very buttery and super shine!
1361491200,Used on a 1992 Mercedes-Benz 500SL
1362355200,Easy to use
1384560000,Count me in
1380844800,never go back
1380672000,A little bit goes a long way!
1358121600,PLEASE READ: EASY REMOVAL
1319414400,KGS is worth the money
1384732800,Great Product
1323302400,new old light
1362873600,These work great
1393286400,Great upgrade for a Toyota Matrix!
1367280000,Loud
1395619200,Look good and is some improvement over Jeep JK original horn
1396310400,louder than the OEM on my Triumph
1339027200,These are made in China but are just as good!
1402099200,Do you have a subaru? Buy Hellas.
1304899200,CRAP
1373155200,"Housing leaks, chrome flakes off in a few months"
1280448000,Excellent Performing Fog lights!
1238112000,great product with its price!
1386374400,Right Bulb.
1403827200,love KC day lighters
1385078400,And then KC said let there be light.....
1349136000,Great look and feel
1334102400,Very nice....
1361232000,nice for the price
1350777600,Great!
1382054400,Smells like leather :)
1377129600,Love this wheel cover...
1392681600,Good for me
1383004800,It's Sandpaper
1393632000,Good Stuff
1356825600,Absolutely the best
1369008000,Great Product
1390089600,Obsedian Black G37S shines
1300752000,Superb
1401148800,WOW
1383868800,Best I have used - ever
1258156800,Time to Toss out the Lever-Action Grease gun
1361923200,Great to Have
1194998400,Great Grease Gun
1218844800,Good Grease Job
1383696000,Solid and well made.
1376352000,Solid and Substantial
1392422400,Quality grease gun
1371254400,Very nice for a basic grease gun.
1378339200,Good grease pump
1396828800,"Well made, quirky fitting"
1390694400,Leaky mess
1264291200,Worked well for me
1386288000,Excellent grease gun
1394409600,It works great
1398988800,Washes out easily. Nice
1365638400,Easy on - easy off
1365638400,Great Stuff
1227052800,Tried and True for many years
1315785600,Good for cheap and easy but Meguiar's makes better
1356739200,Easy to use and does the trick!
1355356800,easy on easy off
1374451200,Great wax for the price.
1331424000,Works Great On New/Newer vehicles
1339027200,Simply the best detailing clay
1362700800,Mequiar's Mild Detailing Clay
1384214400,Can't Detail Without It
1359331200,gets the dirty out of the paint
1386806400,Works perfectly and cleaned off 5 years of road grime
1394755200,Great for getting a show car shine
1375660800,Waste of time and money
1382313600,good product
1372032000,Great adapter
1385942400,"2 options, one price"
1369440000,Need a 7 round and 5 flat hitch?
1315958400,Perfect for what ever you may want to tow
1405296000,handy little plugs
1390694400,Great for Aux Lights Disconnects
1385942400,Great Extension when just a little bit more room is needed.
1358035200,Hopkins 47965 2 pole flat extension
1328918400,Does what it needs to
1383955200,Just right
1391040000,Awesome
1366243200,Great value to make a DC extension cord
1388361600,I used this to make my own Battery Tender cigarette adapter.
1344988800,Does the job
1343260800,"Decent clamp, not as pictured"
1376265600,It's really hard to get excited about
1359590400,Ok
1372377600,No need for it
1368403200,i've never used it yet
1391040000,not yet tried
1390867200,Bought this for my 2012 Tahoe
1310428800,perfect
1371945600,Works well
1356652800,Works only as an adapter
1400371200,"Good fit, good seal"
1370304000,Great adapter
1354924800,Awesome - helped me diagnose my trailer wiring problem
1354838400,Does The Job
1355616000,Extension Cable
1376524800,Extended wiring
1330819200,Good product
1369094400,Works great
1399248000,Awesome.
1375142400,Great sponges to use to apply cleaning and conditioning liquids
1356912000,Works better than needle nose pliers on shoe springs
1377388800,Great Tool to Have!
1324080000,"Get one of these, if your still thinking about..."
1354838400,great wuality low price!
1394150400,awesome item
1380499200,BAD PRODUCT
1359849600,Works!
1381276800,Works Great!
1372118400,brake spreader
1404518400,Reliable and handy tool for the at home mechanic
1373328000,Better than vice grips or C clamps
1355011200,Extremely Useful
1393891200,Fantastic quick touch ups
1247529600,Good product.
1337644800,Great product...
1399939200,NEW PAINT JOB
1402876800,Gave the car a showroom shine!
1334275200,Another good product from Meguiars
1381363200,ITs OK
1250121600,Handy little bottle!
1373846400,Nice easy cutting
1369872000,2 Year old Paint and Porter Cable 7424XP 6-Inch Variable-Speed Polisher
1370217600,Only hides swirls
1405036800,Works pretty well.
1363219200,"If you're an amateur like me, use a random orbital machine ONLY"
1388448000,Works great
1354924800,Works good
1350345600,Works as expected but painful.
1260662400,Worth Every Penny.....Versatile
1310342400,Simple yet effective
1356998400,Great mech stethoscope
1356048000,Lisle quality tool
1242864000,Well Made Product
1402617600,Well made tool at a good price
1404950400,Five Stars
1383696000,"Easily paid for itself, cheaper option than a $1000 smoke machine."
1288742400,Very disappointed
1383350400,Love it. Read a ton of reviews to get to this one. Love it!
1357948800,"Great Wax, color pops"
1316563200,Best looking wax under $25
1370649600,Nice and smooth!!
1368576000,Good Wax
1373500800,"A cosmetic wax, not for real protection"
1372896000,Great
1393718400,wish it could last longer.
1250553600,Toyota cannister filter - this is what you need
1278806400,K-D End Cap Oil Filter Wrench
1266192000,Good alternative to OEM
1358121600,"Works good, just not perfect"
1381968000,I really Like this Wrench
1299110400,"Universal usually means, "" It works on everything, but it sucks"""
1350432000,Lisle
1377043200,Lisle 63250 Wide Range Filter Wrench
1368316800,worked great until the spring broke
1387411200,WHY I WROTE THIS REVIEW
1395619200,Not Universal
1368662400,"Jack of all trades, master of none"
1351382400,My favorite filter removal tool!
1400025600,"Fits my oil filters less than 3"""
1390435200,A must have for any Subaru owner who changes their own oil!
1385942400,Great for certain applications.
1404518400,Five Stars
1326844800,Amazing !
1396742400,wish i had this decades ago
1332028800,Great for removing Subaru oil filters
1384819200,Ratings show this to be a winning tool!
1339891200,Great Tool
1403049600,Great tool
1386374400,Great Wrench
1334102400,"Perfect for those hard to reach, over-torqued oil filters"
1398816000,Did the job -- removed my car's filter
1364947200,Owned for 20 Years
1303171200,Worth the money
1395705600,Handy tool
1401926400,Lifesaver adapter
1351036800,Grease Needle Nozzle
1379808000,Great quality
1287705600,Works a treat
1379721600,Excellent
1256256000,Leaks around the top
1378252800,Very useful!
1361232000,Works great
1376524800,"Great, I love it.  Wait, where's that plastic piece again?"
1402358400,Works Great!
1394928000,Fast oil changes but pain in but to empty
1219276800,"Horrible customer service, horrible quality control"
1375833600,2001 f150
1335484800,Perfect for Ranger pickup
1322784000,A life saver
1233619200,The head was too large to work properly
1368748800,Lisle Headlight Rod Thing
1381622400,i needed it
1391904000,"Great Tool, Great Price"
1366156800,Didn't work for me
1398470400,much better
1402272000,Going to bury this one in the bottom of the tool box
1379116800,Does it's job
1349481600,Lisle Seal Puller
1389657600,Works on Subaru front axle seals
1395100800,Perfect for their intended use
1389571200,another POS & waste of money
1389052800,boot clamps
1361145600,This is my second one that I have owned
1394496000,I wish it was a tiny bit longer
1320796800,inner tie rod removal tool
1357862400,Neat tool
1355875200,STRONG TOOLS!
1390089600,Happy with this kit..
1362700800,Hubby loves it...
1381276800,Nice kit
1355097600,Quality
1368144000,Spend a bit more....
1393200000,Milton s153 Blo Gun
1399852800,haven't used it yet
1325289600,"Built like it was made in the USA back in the simplier days, when all took pride in their work!"
1394496000,Solid tool
1400025600,Great quality.
1360713600,Tire heaven
